Service,Age,CustomerSince,Customer Gender,Region,SupportCallsLastYear,AverageBill,ChurnIndicator,Satisfaction Score,,
4G,32,9/3/2011 10:27,M,North,1,50,0.03,8,,
phone,62,9/4/2011 10:27,F,South,0,64,0.05,9,,
4G,39,9/4/2011 10:27,M,South,3,71,0.05,4,,
phone,59,9/4/2011 10:27,M,North,1,68,0.02,5,,
phone,29,9/5/2011 10:27,M,Central,5,51,0.06,6,,
landline,36,9/5/2011 10:27,F,Central,1,109,0.04,9,,
phone,45,9/5/2011 10:27,F,Central,0,75,0.01,8,,
4G,61,9/6/2011 10:27,M,Central,8,40,0.18,3,,
4G,42,9/6/2011 10:27,F,Central,0,60,0.03,3,,
phone,62,9/6/2011 10:27,M,North,0,43,0.01,6,,
landline,32,9/6/2011 10:27,F,Central,0,35,0.01,7,,
phone,30,9/6/2011 10:27,M,Central,0,81,0.01,6,,
4G,25,9/6/2011 10:27,M,Central,0,109,0.01,4,,
phone,34,9/6/2011 10:27,M,Central,0,85,0.01,5,,
landline,52,9/6/2011 10:27,M,Central,0,108,0.00,4,,
4G,31,9/7/2011 10:27,F,North,7,38,0.17,5,,
fiber,65,9/7/2011 10:27,F,South,2,80,0.04,4,,
4G,41,9/7/2011 10:27,F,North,0,112,0.03,9,,
4G,68,9/7/2011 10:27,M,Central,0,70,0.03,7,,
fiber,58,9/7/2011 10:27,F,South,1,94,0.02,7,,
phone,56,9/7/2011 10:27,F,Central,2,77,0.02,3,,
4G,25,9/7/2011 10:27,F,South,0,46,0.02,3,,
fiber,26,9/7/2011 10:27,M,Central,0,97,0.01,6,,
4G,24,9/7/2011 10:27,F,North,0,101,0.01,4,,
landline,29,9/7/2011 10:27,M,Central,0,108,0.00,8,,
4G,23,9/8/2011 10:27,F,South,1,57,0.03,3,,
phone,29,9/8/2011 10:27,M,Central,0,51,0.02,6,,
4G,53,9/8/2011 10:27,M,North,0,86,0.01,3,,
4G,61,9/8/2011 10:27,M,Central,0,96,0.01,9,,
4G,29,9/9/2011 10:27,F,Central,5,56,0.09,6,,
landline,40,9/9/2011 10:27,M,Central,7,78,0.03,4,,
phone,75,9/9/2011 10:27,F,Central,0,34,0.03,4,,
phone,45,9/9/2011 10:27,M,South,2,71,0.02,5,,
phone,37,9/9/2011 10:27,M,North,0,35,0.02,8,,
4G,28,9/9/2011 10:27,M,Central,0,53,0.02,4,,
landline,71,9/9/2011 10:27,F,Central,0,34,0.01,4,,
4G,60,9/9/2011 10:27,F,Central,0,77,0.01,8,,
landline,26,9/9/2011 10:27,M,Central,0,51,0.01,5,,
phone,27,9/10/2011 10:27,F,North,0,93,0.05,6,,
4G,61,9/10/2011 10:27,F,Central,1,66,0.02,4,,
phone,45,9/10/2011 10:27,M,Central,0,105,0.02,8,,
landline,55,9/10/2011 10:27,F,South,3,80,0.01,6,,
phone,18,9/10/2011 10:27,F,Central,0,52,0.01,6,,
fiber,50,9/11/2011 10:27,M,Central,2,55,0.06,5,,
phone,44,9/11/2011 10:27,M,Central,3,55,0.04,3,,
phone,51,9/12/2011 10:27,F,North,1,104,0.04,6,,
4G,37,9/12/2011 10:27,F,Central,0,99,0.01,8,,
4G,27,9/12/2011 10:27,F,North,0,102,0.01,7,,
landline,79,9/12/2011 10:27,F,Central,0,98,0.00,6,,
fiber,60,9/13/2011 10:27,M,Central,1,69,0.13,6,,
landline,40,9/13/2011 10:27,M,Central,4,46,0.05,6,,
fiber,58,9/13/2011 10:27,F,Central,0,41,0.03,6,,
phone,41,9/13/2011 10:27,F,Central,1,47,0.02,9,,
landline,49,9/13/2011 10:27,F,North,0,52,0.01,8,,
4G,23,9/14/2011 10:27,F,Central,2,41,0.06,5,,
fiber,54,9/14/2011 10:27,F,Central,0,87,0.01,9,,
4G,78,9/14/2011 10:27,F,Central,0,70,0.01,3,,
4G,57,9/14/2011 10:27,M,Central,0,72,0.01,6,,
phone,46,9/14/2011 10:27,F,Central,0,52,0.01,5,,
fiber,42,9/15/2011 10:27,M,Central,2,59,0.12,8,,
4G,50,9/15/2011 10:27,M,North,1,102,0.02,3,,
landline,22,9/15/2011 10:27,F,South,0,53,0.01,4,,
fiber,62,9/16/2011 10:27,M,Central,1,57,0.04,7,,
4G,68,9/16/2011 10:27,F,South,3,95,0.40,2,,
fiber,37,9/16/2011 10:27,F,South,2,101,0.03,8,,
fiber,59,9/16/2011 10:27,F,Central,1,66,0.03,6,,
phone,57,9/16/2011 10:27,F,Central,1,44,0.02,6,,
4G,37,9/16/2011 10:27,F,Central,1,76,0.02,6,,
4G,30,9/16/2011 10:27,F,South,0,56,0.01,5,,
landline,35,9/16/2011 10:27,F,North,0,108,0.00,6,,
phone,62,9/17/2011 10:27,M,South,2,62,0.03,6,,
phone,27,9/17/2011 10:27,F,Central,0,99,0.02,4,,
landline,60,9/17/2011 10:27,M,South,0,85,0.00,8,,
fiber,50,9/18/2011 10:27,M,North,1,68,0.11,5,,
fiber,40,9/18/2011 10:27,M,Central,0,63,0.05,6,,
phone,44,9/18/2011 10:27,M,South,2,56,0.03,3,,
phone,34,9/18/2011 10:27,M,North,1,98,0.01,7,,
fiber,44,9/19/2011 10:27,M,South,8,62,0.54,3,,
4G,27,9/19/2011 10:27,F,Central,4,41,0.10,7,,
phone,35,9/19/2011 10:27,F,North,1,40,0.03,5,,
phone,27,9/19/2011 10:27,F,South,2,75,0.02,4,,
phone,64,9/19/2011 10:27,F,North,0,32,0.02,10,,
fiber,60,9/19/2011 10:27,M,North,0,88,0.01,4,,
4G,47,9/19/2011 10:27,F,South,0,90,0.01,8,,
4G,72,9/20/2011 10:27,F,South,0,63,0.01,5,,
landline,61,9/20/2011 10:27,M,North,1,98,0.90,2,,
landline,71,9/20/2011 10:27,M,North,0,53,0.01,6,,
fiber,56,9/21/2011 10:27,F,South,0,92,0.01,3,,
4G,40,9/22/2011 10:27,F,North,4,95,0.04,7,,
4G,46,9/22/2011 10:27,M,Central,0,82,0.01,4,,
phone,78,9/23/2011 10:27,F,North,7,43,0.10,7,,
fiber,49,9/23/2011 10:27,F,South,6,80,0.09,3,,
fiber,32,9/23/2011 10:27,F,Central,2,102,0.03,6,,
4G,47,9/23/2011 10:27,F,South,0,85,0.03,3,,
fiber,46,9/23/2011 10:27,F,Central,0,104,0.01,7,,
phone,26,9/24/2011 10:27,F,Central,7,75,0.22,5,,
fiber,55,9/24/2011 10:27,F,South,1,43,0.09,3,,
phone,52,9/24/2011 10:27,F,South,0,39,0.02,3,,
landline,60,9/24/2011 10:27,M,South,2,47,0.02,6,,
fiber,47,9/24/2011 10:27,F,Central,0,109,0.01,5,,
4G,19,9/24/2011 10:27,F,North,0,100,0.01,7,,
phone,55,9/25/2011 10:27,M,North,2,71,0.02,4,,
phone,52,9/25/2011 10:27,M,Central,0,42,0.01,8,,
landline,76,9/25/2011 10:27,M,Central,1,65,0.01,6,,
landline,69,9/25/2011 10:27,F,North,0,40,0.01,5,,
phone,22,9/25/2011 10:27,M,North,0,72,0.01,6,,
4G,42,9/26/2011 10:27,F,South,2,85,0.20,8,,
phone,67,9/26/2011 10:27,M,Central,0,113,0.04,3,,
phone,58,9/26/2011 10:27,M,North,0,57,0.01,4,,
4G,64,9/26/2011 10:27,F,South,0,108,0.01,3,,
4G,34,9/27/2011 10:27,M,Central,3,48,0.07,7,,
fiber,64,9/27/2011 10:27,M,South,0,108,0.01,3,,
phone,40,9/27/2011 10:27,F,Central,0,108,0.01,7,,
phone,51,9/28/2011 10:27,M,North,0,78,0.01,4,,
4G,45,9/29/2011 10:27,F,North,1,61,0.08,9,,
fiber,38,9/29/2011 10:27,F,Central,2,48,0.07,3,,
4G,44,9/29/2011 10:27,F,Central,0,87,0.01,6,,
phone,64,9/30/2011 10:27,F,Central,1,93,0.10,3,,
phone,20,9/30/2011 10:27,M,Central,1,42,0.03,8,,
4G,35,9/30/2011 10:27,M,Central,0,36,0.02,6,,
phone,60,9/30/2011 10:27,F,Central,1,53,0.02,8,,
phone,55,9/30/2011 10:27,F,Central,1,54,0.02,4,,
phone,73,9/30/2011 10:27,M,South,1,59,0.02,4,,
landline,79,9/30/2011 10:27,F,North,3,62,0.02,10,,
4G,49,9/30/2011 10:27,F,Central,0,73,0.01,8,,
4G,78,9/30/2011 10:27,F,North,0,85,0.01,7,,
4G,54,9/30/2011 10:27,M,South,0,88,0.01,5,,
4G,63,9/30/2011 10:27,M,South,0,101,0.01,6,,
phone,60,9/30/2011 10:27,M,South,0,85,0.01,8,,
4G,67,10/1/2011 10:27,F,Central,3,46,0.15,10,,
fiber,44,10/1/2011 10:27,M,Central,5,101,0.06,6,,
phone,56,10/1/2011 10:27,M,Central,5,105,0.03,3,,
fiber,52,10/1/2011 10:27,M,Central,1,84,0.03,5,,
phone,37,10/1/2011 10:27,M,Central,2,68,0.02,7,,
4G,19,10/1/2011 10:27,M,North,1,99,0.02,3,,
4G,31,10/1/2011 10:27,F,Central,0,94,0.01,8,,
landline,66,10/1/2011 10:27,M,Central,0,105,1.00,2,,
fiber,42,10/2/2011 10:27,M,South,4,38,0.14,3,,
phone,79,10/2/2011 10:27,F,Central,4,55,0.05,8,,
phone,66,10/2/2011 10:27,F,South,4,105,0.03,3,,
landline,76,10/2/2011 10:27,F,North,2,89,0.01,10,,
phone,61,10/2/2011 10:27,F,Central,0,87,0.01,6,,
phone,56,10/3/2011 10:27,M,Central,5,77,0.11,5,,
phone,20,10/3/2011 10:27,M,North,2,100,0.02,6,,
fiber,34,10/4/2011 10:27,F,North,0,112,0.07,9,,
4G,57,10/4/2011 10:27,F,South,1,64,0.03,8,,
phone,34,10/5/2011 10:27,F,Central,0,95,0.02,9,,
phone,46,10/5/2011 10:27,M,North,0,88,0.01,7,,
landline,50,10/5/2011 10:27,M,South,0,104,0.00,7,,
landline,40,10/6/2011 10:27,F,Central,3,100,0.06,8,,
fiber,49,10/6/2011 10:27,M,North,2,86,0.04,4,,
4G,30,10/6/2011 10:27,M,Central,0,80,0.04,8,,
fiber,78,10/6/2011 10:27,F,North,0,110,0.01,10,,
fiber,53,10/7/2011 10:27,F,North,10,39,0.30,10,,
phone,46,10/7/2011 10:27,M,Central,0,118,0.03,6,,
landline,78,10/7/2011 10:27,M,Central,1,43,0.01,7,,
fiber,48,10/7/2011 10:27,M,Central,0,90,0.01,6,,
4G,51,10/8/2011 10:27,F,Central,0,56,0.04,4,,
phone,58,10/8/2011 10:27,M,South,0,98,0.90,2,,
phone,65,10/9/2011 10:27,F,South,6,105,0.26,5,,
fiber,75,10/9/2011 10:27,F,South,3,93,0.25,8,,
fiber,31,10/9/2011 10:27,F,South,3,81,0.24,5,,
phone,22,10/9/2011 10:27,M,North,2,95,0.06,7,,
4G,44,10/9/2011 10:27,M,Central,1,41,0.04,7,,
4G,32,10/9/2011 10:27,F,North,1,46,0.03,9,,
phone,39,10/9/2011 10:27,F,North,4,94,0.03,6,,
4G,66,10/10/2011 10:27,F,Central,7,101,0.22,6,,
phone,65,10/10/2011 10:27,F,North,4,46,0.06,8,,
phone,54,10/10/2011 10:27,F,North,2,61,0.03,6,,
4G,72,10/10/2011 10:27,F,North,0,46,0.02,8,,
4G,66,10/10/2011 10:27,M,Central,1,106,0.02,7,,
phone,19,10/11/2011 10:27,M,Central,2,108,0.09,8,,
phone,57,10/11/2011 10:27,F,North,0,47,0.05,9,,
4G,32,10/11/2011 10:27,F,Central,1,40,0.04,6,,
fiber,32,10/11/2011 10:27,F,Central,0,58,0.02,9,,
4G,28,10/11/2011 10:27,M,Central,0,51,0.02,7,,
4G,78,10/12/2011 10:27,M,Central,8,62,0.51,3,,
fiber,60,10/12/2011 10:27,M,Central,6,78,0.10,8,,
fiber,75,10/12/2011 10:27,F,South,1,43,0.05,7,,
4G,40,10/12/2011 10:27,F,Central,3,89,0.04,7,,
fiber,39,10/12/2011 10:27,F,Central,1,66,0.03,8,,
landline,55,10/12/2011 10:27,F,Central,2,103,0.01,8,,
4G,31,10/13/2011 10:27,M,South,1,93,0.06,9,,
phone,42,10/13/2011 10:27,F,Central,6,79,0.05,6,,
4G,50,10/13/2011 10:27,F,Central,0,60,0.03,5,,
phone,71,10/13/2011 10:27,M,North,1,47,0.02,7,,
4G,29,10/13/2011 10:27,M,South,1,76,0.02,3,,
4G,31,10/13/2011 10:27,M,South,0,61,0.70,2,,
landline,22,10/13/2011 10:27,F,South,2,109,0.01,4,,
fiber,79,10/14/2011 10:27,F,Central,5,46,0.14,8,,
phone,63,10/14/2011 10:27,F,South,3,56,0.04,8,,
4G,79,10/15/2011 10:27,F,Central,7,106,0.06,8,,
landline,59,10/15/2011 10:27,F,Central,1,92,0.04,4,,
phone,18,10/15/2011 10:27,F,North,3,57,0.04,4,,
4G,75,10/15/2011 10:27,F,Central,1,46,0.03,5,,
4G,32,10/15/2011 10:27,F,Central,0,63,0.01,7,,
4G,52,10/15/2011 10:27,F,South,0,64,0.01,8,,
4G,73,10/15/2011 10:27,F,South,0,86,0.01,3,,
phone,48,10/16/2011 10:27,F,South,10,88,0.07,3,,
4G,46,10/16/2011 10:27,F,North,2,40,0.06,8,,
phone,33,10/16/2011 10:27,F,South,0,50,0.02,6,,
4G,76,10/16/2011 10:27,M,South,0,60,0.01,6,,
4G,32,10/16/2011 10:27,M,North,0,75,0.01,6,,
phone,41,10/16/2011 10:27,F,South,0,76,0.90,2,,
phone,54,10/16/2011 10:27,F,North,0,93,0.01,8,,
4G,45,10/17/2011 10:27,F,Central,6,36,0.15,7,,
4G,35,10/17/2011 10:27,M,North,4,62,0.13,5,,
fiber,18,10/17/2011 10:27,F,North,4,52,0.10,7,,
fiber,56,10/17/2011 10:27,F,Central,1,90,0.02,5,,
phone,66,10/17/2011 10:27,M,North,3,107,0.02,8,,
4G,23,10/17/2011 10:27,F,North,0,68,0.01,6,,
phone,46,10/18/2011 10:27,M,Central,6,74,0.05,5,,
phone,70,10/18/2011 10:27,F,South,2,53,0.03,5,,
phone,21,10/19/2011 10:27,M,Central,1,48,0.06,6,,
4G,40,10/19/2011 10:27,M,North,1,93,0.02,8,,
landline,65,10/19/2011 10:27,M,North,0,47,0.01,8,,
4G,66,10/20/2011 10:27,M,South,1,62,0.03,6,,
phone,62,10/20/2011 10:27,M,North,2,96,0.02,3,,
phone,24,10/20/2011 10:27,F,Central,0,78,0.01,6,,
4G,29,10/21/2011 10:27,M,North,0,103,0.05,6,,
fiber,52,10/22/2011 10:27,M,North,4,44,0.72,2,,
4G,35,10/22/2011 10:27,M,North,1,72,0.02,3,,
4G,21,10/22/2011 10:27,F,Central,1,96,0.02,7,,
4G,38,10/22/2011 10:27,M,Central,0,60,0.01,4,,
phone,33,10/22/2011 10:27,M,Central,0,55,0.01,5,,
4G,54,10/23/2011 10:27,M,South,2,39,0.90,2,,
phone,74,10/23/2011 10:27,F,Central,0,52,0.03,5,,
landline,59,10/23/2011 10:27,M,South,4,81,0.02,6,,
4G,62,10/23/2011 10:27,M,North,1,97,0.02,7,,
phone,42,10/23/2011 10:27,F,Central,1,77,0.01,4,,
phone,53,10/23/2011 10:27,M,South,0,67,0.01,4,,
phone,66,10/23/2011 10:27,F,South,0,88,0.01,3,,
4G,49,10/24/2011 10:27,F,Central,1,77,0.13,3,,
fiber,40,10/24/2011 10:27,M,South,0,32,0.03,8,,
fiber,23,10/24/2011 10:27,F,South,0,75,0.90,2,,
landline,65,10/24/2011 10:27,F,Central,2,92,0.01,8,,
4G,62,10/24/2011 10:27,M,North,0,107,0.01,9,,
phone,59,10/24/2011 10:27,M,North,0,88,0.01,4,,
phone,35,10/24/2011 10:27,M,Central,0,93,0.01,6,,
fiber,59,10/25/2011 10:27,M,South,1,117,0.10,6,,
phone,35,10/25/2011 10:27,F,North,2,116,0.10,7,,
fiber,26,10/25/2011 10:27,F,Central,2,48,0.07,8,,
phone,49,10/25/2011 10:27,F,North,3,81,0.03,8,,
phone,56,10/25/2011 10:27,F,South,1,85,0.01,5,,
4G,54,10/25/2011 10:27,M,North,0,103,0.01,9,,
fiber,33,10/26/2011 10:27,M,Central,3,118,0.14,4,,
4G,60,10/26/2011 10:27,M,North,4,81,0.05,5,,
phone,53,10/26/2011 10:27,M,North,0,38,0.04,7,,
fiber,48,10/26/2011 10:27,M,Central,3,109,0.04,7,,
phone,75,10/26/2011 10:27,F,South,0,60,0.03,3,,
4G,61,10/26/2011 10:27,M,North,0,85,0.03,7,,
4G,39,10/26/2011 10:27,M,Central,2,103,0.02,6,,
phone,41,10/26/2011 10:27,F,North,0,67,0.01,6,,
landline,37,10/26/2011 10:27,M,Central,1,77,0.97,2,,
fiber,65,10/27/2011 10:27,F,North,6,50,0.15,9,,
landline,74,10/27/2011 10:27,M,South,1,40,0.01,5,,
landline,50,10/27/2011 10:27,F,South,0,45,0.01,6,,
4G,77,10/28/2011 10:27,M,Central,6,55,0.10,4,,
4G,38,10/28/2011 10:27,M,South,0,43,0.03,9,,
landline,18,10/28/2011 10:27,M,Central,3,52,0.02,4,,
fiber,58,10/28/2011 10:27,M,Central,0,54,0.02,4,,
landline,72,10/28/2011 10:27,M,North,4,74,0.02,4,,
4G,50,10/28/2011 10:27,M,South,1,87,0.02,4,,
4G,22,10/28/2011 10:27,F,South,1,102,0.02,6,,
phone,48,10/29/2011 10:27,F,North,0,37,0.02,5,,
4G,79,10/29/2011 10:27,F,North,0,43,0.02,8,,
phone,43,10/29/2011 10:27,M,Central,0,41,0.01,8,,
4G,59,10/30/2011 11:27,F,South,4,98,0.04,8,,
4G,45,10/30/2011 11:27,M,Central,0,51,0.02,4,,
phone,18,10/30/2011 11:27,M,Central,0,64,0.01,4,,
landline,19,10/30/2011 11:27,M,Central,0,39,0.01,6,,
landline,63,10/30/2011 11:27,M,South,0,76,0.00,9,,
phone,18,10/31/2011 11:27,M,South,6,92,0.19,6,,
phone,62,10/31/2011 11:27,M,North,9,78,0.07,8,,
landline,25,10/31/2011 11:27,M,South,8,79,0.30,3,,
phone,48,10/31/2011 11:27,M,Central,0,41,0.30,3,,
phone,25,10/31/2011 11:27,M,South,1,103,0.01,8,,
phone,34,10/31/2011 11:27,F,South,0,81,0.01,6,,
4G,42,11/1/2011 11:27,F,South,3,92,0.03,5,,
4G,61,11/1/2011 11:27,F,South,0,117,0.03,3,,
phone,20,11/1/2011 11:27,M,Central,0,79,0.02,6,,
fiber,41,11/1/2011 11:27,M,South,0,58,0.02,6,,
landline,73,11/1/2011 11:27,F,North,0,85,0.02,5,,
landline,55,11/1/2011 11:27,M,North,0,63,0.00,4,,
4G,48,11/2/2011 11:27,M,Central,1,51,0.03,8,,
phone,62,11/2/2011 11:27,F,Central,0,54,0.01,6,,
phone,72,11/2/2011 11:27,F,South,0,71,0.01,4,,
landline,29,11/2/2011 11:27,M,North,0,42,0.01,6,,
fiber,19,11/3/2011 11:27,M,North,7,105,0.08,6,,
phone,39,11/3/2011 11:27,M,Central,3,32,0.07,4,,
fiber,78,11/3/2011 11:27,M,Central,4,83,0.06,7,,
4G,43,11/3/2011 11:27,F,North,0,46,0.02,8,,
landline,75,11/3/2011 11:27,M,North,3,70,0.02,6,,
landline,44,11/3/2011 11:27,M,Central,0,105,0.00,8,,
4G,52,11/4/2011 11:27,F,North,7,52,0.33,7,,
phone,18,11/4/2011 11:27,F,North,6,90,0.04,6,,
phone,35,11/4/2011 11:27,M,Central,1,42,0.03,5,,
4G,56,11/4/2011 11:27,M,South,1,72,0.02,8,,
phone,38,11/4/2011 11:27,M,Central,1,59,0.02,8,,
phone,24,11/4/2011 11:27,M,South,0,76,0.02,4,,
fiber,50,11/5/2011 11:27,M,Central,3,41,0.10,8,,
4G,56,11/5/2011 11:27,M,South,0,39,0.02,5,,
phone,27,11/5/2011 11:27,F,Central,2,87,0.02,9,,
4G,44,11/5/2011 11:27,F,North,0,87,0.01,7,,
phone,68,11/6/2011 10:27,F,South,0,48,0.01,4,,
4G,35,11/6/2011 10:27,M,North,0,93,0.01,7,,
phone,75,11/7/2011 10:27,F,Central,9,67,0.08,4,,
4G,50,11/7/2011 10:27,F,Central,0,66,0.01,3,,
phone,41,11/8/2011 10:27,F,Central,3,55,0.04,4,,
phone,23,11/8/2011 10:27,F,South,1,110,0.01,7,,
4G,29,11/9/2011 10:27,M,North,0,49,0.08,3,,
phone,75,11/9/2011 10:27,F,South,4,41,0.06,5,,
phone,40,11/9/2011 10:27,F,Central,4,81,0.03,6,,
phone,40,11/9/2011 10:27,M,North,1,99,0.01,6,,
phone,54,11/9/2011 10:27,F,North,0,91,0.01,7,,
4G,70,11/10/2011 10:27,M,Central,0,63,0.04,6,,
landline,26,11/10/2011 10:27,M,North,0,84,0.02,6,,
phone,32,11/10/2011 10:27,F,Central,2,91,0.02,7,,
4G,61,11/10/2011 10:27,M,Central,0,97,0.01,3,,
landline,43,11/10/2011 10:27,F,South,1,92,0.01,7,,
landline,79,11/10/2011 10:27,F,Central,0,77,0.00,4,,
4G,43,11/11/2011 10:27,M,Central,9,39,0.20,4,,
landline,26,11/11/2011 10:27,F,Central,6,35,0.05,8,,
4G,75,11/11/2011 10:27,F,Central,2,46,0.05,5,,
4G,33,11/11/2011 10:27,F,Central,4,94,0.04,7,,
phone,25,11/11/2011 10:27,M,Central,0,43,0.01,5,,
4G,51,11/11/2011 10:27,M,North,0,104,0.01,8,,
4G,39,11/12/2011 10:27,F,North,10,83,0.66,3,,
4G,28,11/12/2011 10:27,M,Central,9,76,0.29,3,,
fiber,73,11/12/2011 10:27,F,Central,1,86,0.07,6,,
phone,23,11/12/2011 10:27,F,North,7,70,0.06,6,,
phone,64,11/12/2011 10:27,F,South,1,35,0.03,7,,
fiber,30,11/12/2011 10:27,M,Central,0,76,0.01,3,,
4G,66,11/13/2011 10:27,M,North,8,91,0.08,5,,
fiber,32,11/13/2011 10:27,M,Central,1,107,0.02,8,,
phone,35,11/13/2011 10:27,F,South,2,96,0.02,6,,
4G,29,11/13/2011 10:27,M,South,0,57,0.01,6,,
fiber,19,11/14/2011 10:27,F,South,7,33,0.69,2,,
phone,62,11/14/2011 10:27,F,Central,6,74,0.16,6,,
fiber,27,11/14/2011 10:27,F,Central,6,72,0.10,9,,
phone,34,11/14/2011 10:27,F,North,6,65,0.06,5,,
4G,19,11/14/2011 10:27,F,Central,5,89,0.05,8,,
4G,41,11/14/2011 10:27,F,Central,3,63,0.05,5,,
4G,74,11/14/2011 10:27,M,Central,1,107,0.01,5,,
4G,65,11/14/2011 10:27,M,North,0,72,1.00,2,,
4G,59,11/14/2011 10:27,F,South,0,86,0.01,4,,
4G,56,11/14/2011 10:27,F,North,0,95,0.01,6,,
fiber,64,11/15/2011 10:27,M,North,2,75,0.40,2,,
phone,42,11/15/2011 10:27,F,Central,0,54,0.01,8,,
4G,63,11/15/2011 10:27,M,Central,0,74,0.01,7,,
landline,26,11/16/2011 10:27,M,Central,4,36,0.04,7,,
4G,32,11/16/2011 10:27,M,Central,0,65,0.70,2,,
fiber,75,11/16/2011 10:27,F,North,0,99,0.01,4,,
4G,79,11/17/2011 10:27,M,Central,0,57,0.01,3,,
landline,37,11/17/2011 10:27,F,Central,0,90,0.01,9,,
4G,27,11/18/2011 10:27,M,Central,0,41,0.02,6,,
4G,37,11/19/2011 10:27,M,South,4,40,0.10,7,,
4G,69,11/19/2011 10:27,F,North,3,72,0.04,8,,
phone,69,11/19/2011 10:27,F,Central,1,69,0.02,6,,
phone,44,11/19/2011 10:27,M,South,0,45,0.01,9,,
phone,31,11/19/2011 10:27,M,Central,1,100,0.01,8,,
fiber,53,11/20/2011 10:27,M,Central,2,42,0.07,6,,
phone,36,11/20/2011 10:27,F,Central,5,78,0.10,3,,
phone,38,11/20/2011 10:27,M,South,0,51,0.01,4,,
4G,20,11/21/2011 10:27,M,Central,3,91,0.03,4,,
fiber,64,11/21/2011 10:27,M,North,0,32,0.30,3,,
fiber,60,11/21/2011 10:27,F,North,1,79,0.03,9,,
landline,68,11/21/2011 10:27,F,South,0,81,0.02,5,,
4G,45,11/21/2011 10:27,F,North,0,62,0.01,10,,
phone,64,11/21/2011 10:27,F,South,0,62,0.60,2,,
phone,72,11/21/2011 10:27,M,Central,0,65,0.01,4,,
fiber,71,11/22/2011 10:27,F,South,8,119,0.34,5,,
landline,75,11/22/2011 10:27,F,Central,6,31,0.08,7,,
phone,32,11/22/2011 10:27,M,Central,5,45,0.70,2,,
4G,42,11/22/2011 10:27,F,Central,0,32,0.05,9,,
4G,48,11/22/2011 10:27,M,Central,0,66,0.04,9,,
4G,70,11/22/2011 10:27,F,Central,1,83,0.02,5,,
phone,36,11/22/2011 10:27,F,North,0,45,0.01,5,,
phone,29,11/23/2011 10:27,M,Central,2,69,0.14,6,,
fiber,27,11/23/2011 10:27,F,North,1,80,0.11,6,,
4G,78,11/23/2011 10:27,F,Central,0,107,0.08,6,,
landline,25,11/23/2011 10:27,F,Central,7,86,0.02,6,,
4G,37,11/23/2011 10:27,F,Central,0,40,0.02,7,,
landline,57,11/23/2011 10:27,M,South,1,69,0.01,6,,
landline,22,11/23/2011 10:27,M,North,1,101,0.01,6,,
phone,69,11/24/2011 10:27,F,South,1,74,0.01,5,,
landline,32,11/24/2011 10:27,F,Central,3,80,0.01,10,,
phone,76,11/24/2011 10:27,F,Central,1,106,0.01,8,,
phone,43,11/24/2011 10:27,M,South,0,79,0.01,7,,
phone,44,11/25/2011 10:27,M,South,6,80,0.33,3,,
4G,36,11/25/2011 10:27,M,Central,3,96,0.03,3,,
phone,31,11/25/2011 10:27,F,Central,1,43,0.02,10,,
fiber,33,11/25/2011 10:27,M,Central,0,98,0.01,5,,
landline,68,11/25/2011 10:27,M,South,0,33,0.60,2,,
landline,54,11/25/2011 10:27,F,North,1,67,0.01,7,,
4G,47,11/26/2011 10:27,M,Central,3,107,0.03,7,,
phone,29,11/26/2011 10:27,F,Central,1,59,0.02,7,,
4G,32,11/26/2011 10:27,F,South,0,63,0.01,6,,
landline,52,11/26/2011 10:27,M,South,1,53,0.01,4,,
phone,47,11/26/2011 10:27,F,Central,1,107,0.01,8,,
4G,52,11/27/2011 10:27,F,Central,4,50,0.08,7,,
4G,66,11/27/2011 10:27,M,Central,2,109,0.02,5,,
fiber,58,11/27/2011 10:27,M,Central,0,80,0.01,7,,
phone,23,11/27/2011 10:27,M,South,1,82,0.01,7,,
phone,57,11/27/2011 10:27,M,North,0,88,0.01,6,,
phone,58,11/27/2011 10:27,F,North,0,99,0.01,8,,
4G,28,11/28/2011 10:27,M,Central,8,94,0.24,3,,
4G,64,11/28/2011 10:27,M,Central,1,52,0.13,3,,
fiber,38,11/28/2011 10:27,F,South,1,72,0.03,4,,
4G,42,11/28/2011 10:27,F,Central,0,59,0.01,8,,
fiber,34,11/29/2011 10:27,F,Central,0,76,0.08,8,,
fiber,36,11/29/2011 10:27,M,North,0,32,0.06,7,,
landline,26,11/29/2011 10:27,F,Central,9,49,0.05,9,,
phone,43,11/29/2011 10:27,F,Central,0,46,0.01,7,,
4G,54,11/29/2011 10:27,M,South,0,90,0.01,6,,
4G,54,11/30/2011 10:27,M,North,9,52,0.15,6,,
landline,45,11/30/2011 10:27,F,South,5,40,0.10,3,,
fiber,75,12/1/2011 10:27,M,South,9,90,0.36,3,,
landline,39,12/1/2011 10:27,F,South,9,98,0.12,5,,
fiber,38,12/1/2011 10:27,F,Central,0,103,0.01,4,,
4G,41,12/2/2011 10:27,M,South,4,76,0.13,3,,
fiber,54,12/2/2011 10:27,F,Central,8,93,0.10,4,,
phone,32,12/2/2011 10:27,M,South,4,99,0.03,8,,
4G,61,12/2/2011 10:27,M,Central,1,62,0.03,5,,
4G,73,12/2/2011 10:27,F,Central,1,68,0.02,7,,
landline,45,12/2/2011 10:27,M,South,0,39,0.01,6,,
phone,50,12/2/2011 10:27,F,South,0,104,0.01,7,,
